query_id,method,query_index,query_text,query_intent,top_k,latency_ms,top1_score,hit_at_k,precision_at_k,rr,ndcg_at_k
dense_q_15521,dense,15521,"I want to downlpad my invoice from {{Person Name}}, I need help",get_invoice,5,1527.3113,0.914051353931427,1.0,1.0,1.0,1.0
dense_q_4226,dense,4226,what do I have to do to see my bill #00108?,check_invoice,5,188.4167,0.9784154891967773,1.0,1.0,1.0,1.0
dense_q_1315,dense,1315,help to swap an article of order {{Order Number}},change_order,5,552.4532,0.9847446084022522,1.0,1.0,1.0,1.0
dense_q_20746,dense,20746,how can I reset my profile access key?,recover_password,5,109.4259,0.9713741540908813,1.0,1.0,1.0,1.0
dense_q_4672,dense,4672,check invoices from {{Person Name}},check_invoice,5,458.4298,1.0,1.0,1.0,1.0,1.0
dense_q_25272,dense,25272,i need assistance to check the eta of the order {{Order Number}},track_order,5,111.5001,1.0,1.0,1.0,1.0,1.0
dense_q_22740,dense,22740,I do not know how to leave my feedback for a product,review,5,479.4122,0.9871379137039185,1.0,1.0,1.0,1.0
dense_q_9862,dense,9862,can ya help me contacting an operator,contact_human_agent,5,134.2687,0.9910821318626404,1.0,1.0,1.0,1.0
dense_q_2054,dense,2054,want help trying to edit my addres,change_shipping_address,5,100.4053,0.8981008529663086,1.0,1.0,1.0,1.0
dense_q_24404,dense,24404,how could i change to the {{Account Type}} account,switch_account,5,47.2445,0.9964538812637329,1.0,1.0,1.0,1.0
dense_q_3082,dense,3082,I need to check the withdrawal fee,check_cancellation_fee,5,112.622,0.9579035043716431,1.0,1.0,1.0,1.0
dense_q_8233,dense,8233,i want help to see what hours i can call custmer service,contact_customer_service,5,150.9798,0.8911001682281494,1.0,1.0,1.0,1.0
dense_q_5779,dense,5779,can you help me listing your accepted payment modalities?,check_payment_methods,5,20.6839,0.9876387119293213,1.0,1.0,1.0,1.0
dense_q_26446,dense,26446,I expect a compensation of {{Refund Amount}} dollars,track_refund,5,25.1738,1.0,1.0,1.0,1.0,1.0
